Date,open,high,low,close,adj close,volume
2000-02-10,48000.0,48000.0,48000.0,48000.0,48000.0,0
2001-02-26,12000.0,12000.0,12000.0,12000.0,12000.0,0
2001-04-06,30000.0,30000.0,30000.0,30000.0,30000.0,0
2001-08-30,6000.0,6000.0,6000.0,6000.0,6000.0,0
2001-11-21,6000.0,6000.0,6000.0,6000.0,6000.0,0
2003-10-10,5.0,5.0,5.0,5.0,5.0,10
2003-10-14,2.0,2.0,2.0,2.0,2.0,5
2003-11-04,9.0,9.0,9.0,9.0,9.0,12
2003-11-13,9.0,9.0,9.0,9.0,9.0,12
2003-12-01,9.0,9.0,9.0,9.0,9.0,12
2003-12-11,9.0,9.0,9.0,9.0,9.0,12
2003-12-29,31.799999237060547,31.799999237060547,31.799999237060547,31.799999237060547,31.799999237060547,25
2004-01-09,30.0,30.0,30.0,30.0,30.0,12
2004-02-20,30.0,30.0,30.0,30.0,30.0,48
2004-02-23,42.0,50.0,40.0,42.0,42.0,209
2004-02-24,42.0,50.0,40.0,42.0,42.0,230
2004-03-31,30.0,30.0,30.0,30.0,30.0,38
2004-04-05,20.200000762939453,30.0,20.200000762939453,20.200000762939453,20.200000762939453,225
2004-04-06,16.0,16.200000762939453,16.0,16.0,16.0,548
2004-04-07,23.0,23.200000762939453,20.200000762939453,23.0,23.0,130
2004-04-08,25.0,25.0,25.0,25.0,25.0,100
2004-04-12,26.0,26.0,25.0,26.0,26.0,125
2004-04-13,26.0,26.0,26.0,26.0,26.0,192
2004-04-15,25.0,27.0,25.0,25.0,25.0,88
2004-04-26,26.0,26.0,26.0,26.0,26.0,5
2004-04-30,24.0,24.0,24.0,24.0,24.0,75
2004-05-06,23.0,23.0,23.0,23.0,23.0,5
2004-05-07,23.0,23.0,23.0,23.0,23.0,38
2004-05-11,22.0,23.0,22.0,22.0,22.0,112
2004-05-13,22.0,22.0,21.0,22.0,22.0,30
2004-05-24,21.0,21.0,21.0,21.0,21.0,12
2004-05-28,21.0,21.0,21.0,21.0,21.0,25
2004-06-08,24.0,24.0,24.0,24.0,24.0,10
2004-06-09,24.0,24.0,24.0,24.0,24.0,12
2004-07-08,21.0,21.600000381469727,21.0,21.0,21.0,50
2004-07-16,20.0,20.0,20.0,20.0,20.0,170
2004-07-19,20.0,20.0,20.0,20.0,20.0,0
2004-07-20,20.0,20.0,20.0,20.0,20.0,0
2004-07-21,20.0,20.0,20.0,20.0,20.0,0
2004-07-22,20.0,20.0,20.0,20.0,20.0,0
2004-07-23,20.0,20.0,20.0,20.0,20.0,0
2004-07-26,20.0,20.0,20.0,20.0,20.0,0
2004-07-27,20.0,20.0,20.0,20.0,20.0,0
2004-07-28,20.0,20.0,20.0,20.0,20.0,0
2004-07-29,20.0,20.0,20.0,20.0,20.0,0
2004-07-30,20.0,20.0,20.0,20.0,20.0,0
2004-08-02,20.0,20.0,20.0,20.0,20.0,0
2004-08-03,20.0,20.0,20.0,20.0,20.0,0
2004-08-04,20.0,20.0,20.0,20.0,20.0,0
2004-08-05,20.0,20.0,20.0,20.0,20.0,0
2004-08-06,20.0,20.0,20.0,20.0,20.0,0
2004-08-09,20.0,20.0,20.0,20.0,20.0,0
2004-08-10,17.0,17.0,17.0,17.0,17.0,12
2004-08-11,17.0,17.0,17.0,17.0,17.0,0
2004-08-12,17.0,17.0,17.0,17.0,17.0,0
2004-08-13,17.0,17.0,17.0,17.0,17.0,0
2004-08-16,17.0,17.0,17.0,17.0,17.0,0
2004-08-17,17.0,17.0,17.0,17.0,17.0,0
2004-08-18,17.0,17.0,17.0,17.0,17.0,0
2004-08-19,17.0,17.0,17.0,17.0,17.0,0
2004-08-20,17.0,17.0,17.0,17.0,17.0,0
2004-08-23,17.0,17.0,17.0,17.0,17.0,0
2004-08-24,17.0,17.0,17.0,17.0,17.0,0
2004-08-25,17.0,17.0,17.0,17.0,17.0,0
2004-08-26,17.0,17.0,17.0,17.0,17.0,0
2004-08-27,17.0,17.0,17.0,17.0,17.0,0
2004-08-30,17.0,17.0,17.0,17.0,17.0,0
2004-08-31,17.0,17.0,17.0,17.0,17.0,0
2004-09-01,17.0,17.0,17.0,17.0,17.0,12
2004-09-02,17.0,17.0,17.0,17.0,17.0,0
2004-09-03,17.0,17.0,17.0,17.0,17.0,0
2004-09-07,17.0,17.0,17.0,17.0,17.0,0
2004-09-08,17.0,17.0,17.0,17.0,17.0,0
2004-09-09,17.0,17.0,17.0,17.0,17.0,0
2004-09-10,17.0,17.0,17.0,17.0,17.0,0
2004-09-13,17.0,17.0,17.0,17.0,17.0,0
2004-09-14,17.0,17.0,17.0,17.0,17.0,0
2004-09-15,17.0,17.0,17.0,17.0,17.0,0
2004-09-16,22.0,24.799999237060547,22.0,24.799999237060547,24.799999237060547,425
2004-09-17,25.0,25.0,25.0,25.0,25.0,25
2004-09-20,24.0,24.0,24.0,24.0,24.0,30
2004-09-21,26.0,26.0,26.0,26.0,26.0,36
